DeviceID,Brand,TheModel,ThumbnailURL,ImageURL,DeepLink,Mint,Good,Poor,Broken,Water damaged/dead
9,Apple,iPhone 4 16GB (AT&T),http://www.hellototem.com/images/phones/iPhone-4.jpg,http://www.hellototem.com/images/phones/full/iPhone-4.jpg,http://www.hellototem.com/?p=9,135,125,108,27,13
10,Apple,iPhone 4 32GB (AT&T),http://www.hellototem.com/images/phones/iPhone-4.jpg,http://www.hellototem.com/images/phones/full/iPhone-4.jpg,http://www.hellototem.com/?p=10,135,125,108,27,13
51,Apple,iPhone 4 16GB (Verizon),http://www.hellototem.com/images/phones/iPhone-4.jpg,http://www.hellototem.com/images/phones/full/iPhone-4.jpg,http://www.hellototem.com/?p=51,22,20,18,5,2
52,Apple,iPhone 4 32GB (Verizon),http://www.hellototem.com/images/phones/iPhone-4.jpg,http://www.hellototem.com/images/phones/full/iPhone-4.jpg,http://www.hellototem.com/?p=52,22,20,18,5,2
57,Apple,iPad 16GB WiFi,http://www.hellototem.com/images/phones/ipad.jpg,http://www.hellototem.com/images/phones/full/ipad.jpg,http://www.hellototem.com/?p=57,90,82.8,72,18,9
58,Apple,iPad 16GB WiFi + 3G,http://www.hellototem.com/images/phones/ipad.jpg,http://www.hellototem.com/images/phones/full/ipad.jpg,http://www.hellototem.com/?p=58,110,100,90,22,10
59,Apple,iPad 32GB WiFi,http://www.hellototem.com/images/phones/ipad.jpg,http://www.hellototem.com/images/phones/full/ipad.jpg,http://www.hellototem.com/?p=59,110,100,90,22,10
60,Apple,iPad 32GB WiFi + 3G,http://www.hellototem.com/images/phones/ipad.jpg,http://www.hellototem.com/images/phones/full/ipad.jpg,http://www.hellototem.com/?p=60,112,100,90,22,10
61,Apple,iPad 64GB WiFi,http://www.hellototem.com/images/phones/ipad.jpg,http://www.hellototem.com/images/phones/full/ipad.jpg,http://www.hellototem.com/?p=61,120,110,100,24,12
62,Apple,iPad 64GB WiFi + 3G,http://www.hellototem.com/images/phones/ipad.jpg,http://www.hellototem.com/images/phones/full/ipad.jpg,http://www.hellototem.com/?p=62,115,105,95,23,10
63,Apple,iPad 2 16GB WiFi,http://www.hellototem.com/images/phones/ipad2.jpg,http://www.hellototem.com/images/phones/full/ipad2.jpg,http://www.hellototem.com/?p=63,195,180,160,37,19.5
64,Apple,iPad 2 16GB WiFi + 3G (AT&T),http://www.hellototem.com/images/phones/ipad2.jpg,http://www.hellototem.com/images/phones/full/ipad2.jpg,http://www.hellototem.com/?p=64,220,200,180,42,20
65,Apple,iPad 2 16GB WiFi + 3G (Verizon),http://www.hellototem.com/images/phones/ipad2.jpg,http://www.hellototem.com/images/phones/full/ipad2.jpg,http://www.hellototem.com/?p=65,220,200,180,42,20
66,Apple,iPad 2 32GB WiFi,http://www.hellototem.com/images/phones/ipad2.jpg,http://www.hellototem.com/images/phones/full/ipad2.jpg,http://www.hellototem.com/?p=66,240,220,200,48,20
